numer_sta,date,nb_niv,
07145,19960902230000,55,
p_niv,geop,t,td,dd,ff,
100400,mq,285.350000,281.450000,20,2.100000,
100000,199,286.150000,280.150000,25,3.600000,
99700,mq,286.750000,278.750000,mq,mq,
97200,mq,mq,mq,60,12.300000,
92500,839,283.950000,271.950000,65,10.300000,
91500,mq,283.550000,270.550000,mq,mq,
89100,mq,mq,mq,70,8.700000,
85000,1525,278.350000,271.350000,70,6.700000,
83700,mq,mq,mq,75,6.200000,
83600,mq,277.150000,272.150000,mq,mq,
81500,mq,276.350000,258.350000,mq,mq,
80800,mq,278.150000,249.150000,mq,mq,
80000,mq,mq,mq,55,12.300000,
78900,mq,mq,mq,50,14.400000,
75500,mq,277.350000,248.350000,mq,mq,
70000,3070,274.750000,246.750000,50,14.400000,
65100,mq,272.250000,244.250000,mq,mq,
60000,mq,mq,mq,50,14.900000,
57700,mq,mq,mq,50,14.900000,
55300,mq,263.850000,238.850000,mq,mq,
52800,mq,263.050000,238.050000,mq,mq,
50000,5658,259.850000,235.850000,50,21.100000,
43600,mq,251.450000,228.450000,mq,mq,
41900,mq,249.450000,227.450000,mq,mq,
40000,7277,247.050000,234.050000,50,31.400000,
36000,mq,241.850000,237.150000,mq,mq,
32900,mq,237.250000,233.750000,mq,mq,
31500,mq,235.050000,225.050000,mq,mq,
30000,9257,232.650000,mq,50,44.200000,
27100,mq,mq,mq,50,48.900000,
25000,10454,224.050000,mq,50,47.800000,
20900,mq,215.650000,mq,50,45.300000,
20000,11856,216.050000,mq,50,44.800000,
18700,mq,mq,mq,50,43.700000,
15600,mq,218.050000,mq,mq,mq,
15000,13651,216.850000,mq,55,28.800000,
14300,mq,215.450000,mq,mq,mq,
12500,mq,217.850000,mq,mq,mq,
11500,mq,mq,mq,55,10.300000,
10000,16181,217.250000,mq,60,8.700000,
8570,mq,mq,mq,65,6.700000,
7000,18397,216.050000,mq,155,2.100000,
6770,mq,mq,mq,165,1.500000,
5820,mq,215.450000,mq,mq,mq,
5000,20486,217.850000,mq,mq,mq,
4610,mq,219.250000,mq,mq,mq,
3270,mq,217.850000,mq,mq,mq,
3000,23693,219.250000,mq,mq,mq,
2000,26282,226.450000,mq,mq,mq,
1810,mq,228.250000,mq,mq,mq,
1260,mq,228.250000,mq,mq,mq,
1000,30832,233.450000,mq,mq,mq,
890,mq,236.050000,mq,mq,mq,
640,mq,236.250000,mq,mq,mq,
570,mq,240.850000,mq,mq,mq,
