Story,Label,Unique Name,Output Case,Case Type,Step Type,FX,FY,FZ,MX,MY,MZ
Base,1,161,Wind Envelope,Combination,Max,35.96002551,11.92441045,686.6219204,47.08421243,98.56318783,0.017497011
Base,1,161,Wind Envelope,Combination,Min,-22.6861974,-9.683259369,525.7752674,-20.03953729,-77.08617317,-0.042304391
Base,2,162,Wind Envelope,Combination,Max,46.39504838,4.65666579,1454.773355,65.68851188,116.4504266,0.043936567
Base,2,162,Wind Envelope,Combination,Min,-17.05882217,-20.67196505,1236.956844,-8.498642847,-68.5506357,-0.056344988
Base,3,163,Wind Envelope,Combination,Max,45.27395713,-5.143579607,1375.507884,82.15972099,114.2121129,0.055006681
Base,3,163,Wind Envelope,Combination,Min,-17.76650719,-30.7888733,1160.296894,7.52728353,-69.27735178,-0.051312732
Base,4,164,Wind Envelope,Combination,Max,34.7724267,-6.420546408,616.3707151,79.79604197,95.82736236,0.068579032
Base,4,164,Wind Envelope,Combination,Min,-22.8213751,-29.83798983,453.5983302,9.569414259,-76.37142331,-0.064811143
Base,5,165,Wind Envelope,Combination,Max,38.61886062,23.52557433,1465.920035,33.55527737,104.0692253,0.048186998
Base,5,165,Wind Envelope,Combination,Min,-27.16254932,-1.011896628,1377.395861,-39.15128111,-85.41842431,-0.04780087
Base,6,166,Wind Envelope,Combination,Max,43.59639118,6.092230909,3384.535278,67.14101084,114.9577139,0.046312317
Base,6,166,Wind Envelope,Combination,Min,-24.5730354,-20.36886112,3276.075339,-10.85397532,-83.36841585,-0.055671396
Base,7,167,Wind Envelope,Combination,Max,43.12960657,-8.242444874,3183.145118,91.48443279,113.5592538,0.04988099
Base,7,167,Wind Envelope,Combination,Min,-24.99128624,-35.15136532,3072.064488,12.9795127,-83.44083141,-0.057529917
Base,8,168,Wind Envelope,Combination,Max,37.75753747,-16.27941347,1326.451801,98.28006726,101.7015241,0.047234627
Base,8,168,Wind Envelope,Combination,Min,-27.04121957,-40.71020456,1220.673109,25.91482343,-84.15152292,-0.061197761
Base,9,169,Wind Envelope,Combination,Max,28.9876172,25.05837524,1588.250788,29.95663012,88.54468352,0.0431207
Base,9,169,Wind Envelope,Combination,Min,-33.58676678,1.192975166,1536.521584,-41.42549898,-96.17176893,-0.054462291
Base,10,170,Wind Envelope,Combination,Max,29.3537818,6.342338497,4029.851316,66.0696508,92.06632528,0.048339482
Base,10,170,Wind Envelope,Combination,Min,-35.16609638,-19.43810118,4004.737474,-11.02780515,-101.8293134,-0.055717634
Base,11,171,Wind Envelope,Combination,Max,29.41331462,-9.344426851,3770.073677,92.67897167,91.52335064,0.049328349
Base,11,171,Wind Envelope,Combination,Min,-35.05568006,-35.53803553,3735.77901,15.17239749,-100.9239143,-0.05656603
Base,12,172,Wind Envelope,Combination,Max,28.57834388,-17.82678783,1457.549657,101.045966,86.894239,0.052191021
Base,12,172,Wind Envelope,Combination,Min,-32.96618984,-42.36715802,1396.347327,28.75801234,-94.02839712,-0.055097124
Base,13,173,Wind Envelope,Combination,Max,41.78537957,30.57135213,1959.9321,20.58449017,109.9726157,0.055109918
Base,13,173,Wind Envelope,Combination,Min,-18.28526452,6.973839304,1894.89724,-50.312472,-71.61379417,-0.041560592
Base,14,174,Wind Envelope,Combination,Max,47.67671238,6.963783792,4984.564766,63.83635125,124.0936553,0.048302
Base,14,174,Wind Envelope,Combination,Min,-13.66543341,-17.63722804,4939.858492,-11.85537377,-67.04040905,-0.057351862
