SOC,OCV [V]
0.0,2.7527
0.001,2.8381312642857117
0.002,2.888160599999999
0.003,2.927338351190475
0.004,2.958930799999999
0.005,2.985566821428571
0.006,3.009094471428571
0.007,3.030441221428571
0.008,3.0500302
0.009,3.068173042857142
0.01,3.085058142857143
0.011,3.100928957142856
0.012,3.1158640571428564
0.013,3.129948914285714
0.014,3.143321785714285
0.015,3.156025892857142
0.016,3.168122133333333
0.017,3.179647216666666
0.018,3.190688057142857
0.019,3.2012637499999994
0.02,3.2114838095238083
0.021,3.221301542857143
0.022,3.230764671428571
0.023,3.2398572214285712
0.024,3.248649771428571
0.025,3.2571851785714285
0.026,3.265471857142857
0.027,3.2734631357142856
0.028,3.281200714285714
0.029,3.28873395
0.03,3.2960336428571426
0.031,3.303165414285714
0.032,3.310054457142857
0.033,3.31683705
0.034,3.3233824142857142
0.035,3.3297973571428567
0.036,3.3360232
0.037,3.3421000000000003
0.038,3.3480383285714286
0.039,3.3538308785714284
0.04,3.3595162857142857
0.041,3.36502785
0.042,3.3704442428571424
0.043,3.37572965
0.044,3.380887085714285
0.045,3.385912928571428
0.046,3.3908816285714285
0.047,3.395650328571429
0.048,3.4004000000000003
0.049,3.40495
0.05,3.409413571428571
0.051,3.4138
0.052,3.4180268857142857
0.053,3.4221354785714286
0.054,3.426061985714285
0.055,3.429897392857143
0.056,3.4335
0.057,3.43695945
0.058,3.4402
0.059,3.44315
0.06,3.4459095714285715
0.061,3.448380658333333
0.062,3.450550128571429
0.063,3.452541116666666
0.064,3.4542110857142863
0.065,3.455729785714285
0.066,3.45705
0.067,3.4583000000000004
0.068,3.459443028571428
0.069,3.46045
0.07,3.4614000000000003
0.071,3.4623
0.072,3.463174971428572
0.073,3.46395
0.074,3.46475
0.075,3.46545
0.076,3.4662
0.077,3.4669
0.078,3.467551457142857
0.079,3.4682500000000003
0.08,3.46885
0.081,3.46945
0.082,3.4701
0.083,3.4707
0.084,3.4713000000000003
0.085,3.4719
0.086,3.47245
0.087,3.47305
0.088,3.4736
0.089,3.4742
0.09,3.474704083333333
0.091,3.475263207142857
0.092,3.4758788857142857
0.093,3.47637105
0.094,3.477
0.095,3.47755
0.096,3.478080914285714
0.097,3.47865
0.098,3.47915
0.099,3.4797
0.1,3.4803
0.101,3.4808
0.102,3.4814
0.103,3.4819
0.104,3.482401942857143
0.105,3.4830113928571427
0.106,3.48355
0.107,3.4841
0.108,3.48475
0.109,3.4853
0.11,3.4858
0.111,3.4864
0.112,3.48695
0.113,3.4875
0.114,3.4881
0.115,3.4887
0.116,3.4893
0.117,3.4899
0.118,3.4905
0.119,3.4911000000000003
0.12,3.4917
0.121,3.4923
0.122,3.4930000000000003
0.123,3.4936
0.124,3.494293114285714
0.125,3.4949
0.126,3.4956
0.127,3.4963003785714286
0.128,3.49705
0.129,3.49775
0.13,3.4985
0.131,3.499267207142857
0.132,3.5000839142857147
0.133,3.5009085285714283
0.134,3.50175
0.135,3.50265
0.136,3.5036
0.137,3.50455
0.138,3.5055
0.139,3.5065
0.14,3.5076
0.141,3.508698564285714
0.142,3.50975
0.143,3.51085
0.144,3.512
0.145,3.5131
0.146,3.51425
0.147,3.5153
0.148,3.5164176
0.149,3.5175
0.15,3.518612142857142
0.151,3.51965
0.152,3.52075
0.153,3.52185
0.154,3.5228729
0.155,3.5239000000000003
0.156,3.5249
0.157,3.52595
0.158,3.5269500000000003
0.159,3.527951871428572
0.16,3.52895
0.161,3.5299
0.162,3.530881097619048
0.163,3.53185
0.164,3.5328
0.165,3.533778357142857
0.166,3.53475
0.167,3.5356772785714288
0.168,3.5366
0.169,3.537587792857143
0.17,3.5385
0.171,3.53945
0.172,3.5404049428571427
0.173,3.54135
0.174,3.5423180857142853
0.175,3.5433
0.176,3.5442118857142857
0.177,3.5452
0.178,3.5461953
0.179,3.54718085
0.18,3.548144571428571
0.181,3.5491
0.182,3.55005
0.183,3.550957814285714
0.184,3.551902685714285
0.185,3.5529
0.186,3.553857157142857
0.187,3.5548
0.188,3.5557
0.189,3.55655
0.19,3.557453
0.191,3.55835
0.192,3.5592
0.193,3.560066242857143
0.194,3.5609
0.195,3.5617
0.196,3.5625
0.197,3.5633
0.198,3.5641
0.199,3.564867578571429
0.2,3.5656
0.201,3.56635
0.202,3.5671
0.203,3.5678
0.204,3.5685433714285715
0.205,3.5692500000000003
0.206,3.5699916714285718
0.207,3.57065
0.208,3.57135
0.209,3.5720011571428567
