Mots;Groupe
le peintre, la couleur, le bleu, le jaune, le rouge, le vert, le marron, l’orange, le violet, le rose, le blanc, le noir;Jaune
primaire;Jaune
utiliser;Jaune
une forme, un carré, un rond, un triangle, la ligne;Vert
droit, courbe;Vert
peindre;Vert
comme, ainsi que;Vert
le centre, la toile, le fond, l’artiste, la réalité;Violet
se mélanger, chercher, montrer;Violet
plusieurs;Violet
