Dictée 1 : « peinture bleue »;;
Noms;le peintre, la couleur, le bleu, le jaune, le rouge, le vert, le marron, l’orange, le violet, le rose, le blanc, le noir;
;;
Adjectifs  ;primaire;
;;
Verbes;utiliser;
;;
Mots invariables;mais, aussi, sur;
;;
;;
Noms;une forme, un carré, un rond, un triangle, la ligne;
;;
Adjectifs  ;droit, courbe;
;;
Verbes;peindre;
;;
Mots invariables ;comme, ainsi que;
;;
;;
Noms;le centre, la toile, le fond, l’artiste, la réalité;
;;
Adjectifs  ;;
;;
Verbes;se mélanger, chercher, montrer;
;;
Mots invariables ;plusieurs;
;;
;;
