rank	taxon	parent	total	segmented	segmented_fraction	majority_segment	min_segment	max_segment
Kingdom	Shotokuvirae	Monodnaviria	2302	197	8.557775847089486	2	2	8
Kingdom	Orthornavirae	Riboviria	6670	1090	16.34182908545727	3	2	12
Phylum	Cossaviricota	Shotokuvirae	499	2	0.4008016032064128	2	2	2
Phylum	Cressdnaviricota	Shotokuvirae	1560	195	12.5	2	2	8
Phylum	Artimaviricota	Orthornavirae	1	1	100	2	2	2
Phylum	Duplornaviricota	Orthornavirae	308	132	42.857142857142854	10	2	12
Phylum	Kitrinoviricota	Orthornavirae	740	108	14.594594594594595	2	2	5
Phylum	Lenarviricota	Orthornavirae	2822	19	0.6732813607370659	3	2	4
Phylum	Negarnaviricota	Orthornavirae	1661	649	39.0728476821192	3	2	10
Phylum	Pisuviricota	Orthornavirae	1079	145	13.438368860055608	2	2	11
Subphylum	Haploviricotina	Negarnaviricota	1023	35	3.4213098729227758	2	2	4
Subphylum	Polyploviricotina	Negarnaviricota	638	614	96.23824451410658	3	2	10
Class	Mouviricetes	Cossaviricota	1	1	100	2	2	2
Class	Quintoviricetes	Cossaviricota	243	1	0.411522633744856	2	2	2
Class	Arfiviricetes	Cressdnaviricota	744	16	2.1505376344086025	8	4	8
Class	Repensiviricetes	Cressdnaviricota	816	179	21.936274509803923	2	2	3
Class	Furtirnaviricetes	Artimaviricota	1	1	100	2	2	2
Class	Chrymotiviricetes	Duplornaviricota	215	51	23.72093023255814	4	2	7
Class	Resentoviricetes	Duplornaviricota	84	74	88.09523809523809	10	4	12
Class	Vidaverviricetes	Duplornaviricota	9	7	77.77777777777779	3	3	3
Class	Alsuviricetes	Kitrinoviricota	540	96	17.77777777777778	3	2	5
Class	Magsaviricetes	Kitrinoviricota	11	9	81.81818181818183	2	2	2
Class	Tolucaviricetes	Kitrinoviricota	92	3	3.260869565217391	2	2	2
Class	Amabiliviricetes	Lenarviricota	18	16	88.88888888888889	2	2	4
Class	Miaviricetes	Lenarviricota	159	3	1.8867924528301887	3	3	3
