param,lower,upper,molecule,value
b,1.0,50.0,CH4,0.0012040816326530576
b,50.0,100.0,CH4,0.02400000000000002
b,100.0,150.0,CH4,0.04200000000000026
b,150.0,200.0,CH4,0.05999999999999994
b,200.0,250.0,CH4,0.07599999999999996
b,250.0,300.0,CH4,0.09599999999999997
b,300.0,350.0,CH4,0.11399999999999999
b,350.0,400.0,CH4,0.135
b,400.0,450.0,CH4,0.1510000000000009
b,450.0,500.0,CH4,0.17799999999999994
b,500.0,550.0,CH4,0.20799999999999885
b,550.0,600.0,CH4,0.21900000000000008
b,600.0,650.0,CH4,0.25500000000000145
b,650.0,700.0,CH4,0.29400000000000004
b,700.0,750.0,CH4,0.3079999999999987
b,750.0,800.0,CH4,0.33800000000000185
b,800.0,850.0,CH4,0.3860000000000001
b,850.0,900.0,CH4,0.40299999999999825
b,900.0,950.0,CH4,0.4570000000000003
b,950.0,1000.0,CH4,0.4759999999999982
b,1.0,50.0,CO,0.0012448979591836717
b,50.0,100.0,CO,0.01999999999999999
b,100.0,150.0,CO,0.038000000000000006
b,150.0,200.0,CO,0.04999999999999999
b,200.0,250.0,CO,0.06599999999999989
b,250.0,300.0,CO,0.08600000000000019
b,300.0,350.0,CO,0.09199999999999986
b,350.0,400.0,CO,0.11299999999999977
b,400.0,450.0,CO,0.1289999999999999
b,450.0,500.0,CO,0.1469999999999999
b,500.0,550.0,CO,0.15700000000000092
b,550.0,600.0,CO,0.17899999999999983
b,600.0,650.0,CO,0.17899999999999983
b,650.0,700.0,CO,0.2180000000000013
b,700.0,750.0,CO,0.2179999999999951
b,750.0,800.0,CO,0.23300000000000032
b,800.0,850.0,CO,0.2650000000000037
b,850.0,900.0,CO,0.2650000000000037
b,900.0,950.0,CO,0.2829999999999937
b,950.0,1000.0,CO,0.30200000000000005
b,1.0,50.0,CO2,0.0014285714285714318
b,50.0,100.0,CO2,0.02099999999999999
b,100.0,150.0,CO2,0.03699999999999998
b,150.0,200.0,CO2,0.05499999999999988
b,200.0,250.0,CO2,0.07099999999999995
b,250.0,300.0,CO2,0.08600000000000052
b,300.0,350.0,CO2,0.1099999999999991
b,350.0,400.0,CO2,0.1309999999999999
b,400.0,450.0,CO2,0.14700000000000002
b,450.0,500.0,CO2,0.17400000000000104
b,500.0,550.0,CO2,0.20399999999999996
b,550.0,600.0,CO2,0.21499999999999897
b,600.0,650.0,CO2,0.2509999999999999
b,650.0,700.0,CO2,0.26400000000000134
b,700.0,750.0,CO2,0.3059999999999998
b,750.0,800.0,CO2,0.3209999999999984
b,800.0,850.0,CO2,0.3370000000000002
b,850.0,900.0,CO2,0.3880000000000021
b,900.0,950.0,CO2,0.40600000000000014
b,950.0,1000.0,CO2,0.42499999999999805
b,1.0,50.0,H2,0.0015918367346938814
b,50.0,100.0,H2,0.021999999999999964
b,100.0,150.0,H2,0.035999999999999976
b,150.0,200.0,H2,0.05399999999999999
b,200.0,250.0,H2,0.066
b,250.0,300.0,H2,0.08100000000000002
b,300.0,350.0,H2,0.09899999999999998
b,350.0,400.0,H2,0.11299999999999966
b,400.0,450.0,H2,0.12899999999999967
b,450.0,500.0,H2,0.14700000000000069
b,500.0,550.0,H2,0.15699999999999958
b,550.0,600.0,H2,0.17900000000000083
b,600.0,650.0,H2,0.19099999999999961
b,650.0,700.0,H2,0.20399999999999952
b,700.0,750.0,H2,0.21800000000000108
b,750.0,800.0,H2,0.23299999999999943
b,800.0,850.0,H2,0.24900000000000122
