Time [s],Speed [m/s]
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.089408
7,0.312928
8,0.491744
9,0.759968
10,2.68224
11,6.213856
12,9.16432
13,11.488928000000001
14,11.176
15,12.695936
16,14.439392
17,15.467584
18,16.316959999999998
19,17.166335999999998
20,17.836896
21,18.865088000000004
22,19.580352
23,19.759168000000003
24,19.401536
25,19.043904
26,18.015712000000004
27,17.523968
28,17.166335999999998
29,17.166335999999998
30,17.523968
31,17.345152
32,17.345152
33,16.316959999999998
34,14.439392
35,12.338304
36,9.968992
37,7.733792
38,5.140960000000001
39,2.592832
40,0.5364479999999999
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.357632
50,4.112768
51,6.660895999999999
52,8.136128
53,9.924288000000002
54,12.159488
55,14.037056
56,15.109951999999998
57,16.629888
58,18.239232
59,19.66976
60,20.697952000000004
61,21.279104
62,22.12848
63,22.888448
64,23.69312
65,24.318976
66,24.855424
67,25.213055999999998
68,25.078943999999996
69,25.123648
70,24.944831999999998
71,24.631904
72,24.318976
73,24.229568
74,24.318976
75,24.229568
76,23.91664
77,23.380192000000005
78,23.246080000000003
79,23.201376
80,23.156672
81,23.201376
82,23.246080000000003
83,23.4696
84,23.871936
85,24.542496
86,25.391872
87,26.285951999999998
88,27.090624000000002
89,27.850592
90,28.699968
91,29.594047999999997
92,30.309312
93,31.024575999999996
94,31.471616
95,31.561024
96,31.605728
97,31.426911999999998
98,30.488128
99,29.72816
100,29.012895999999998
101,28.476447999999998
102,27.94
103,27.26944
104,26.509472000000002
105,25.794207999999998
106,25.03424
107,24.36368
108,23.603712
109,22.888448
110,22.12848
111,21.45792
112,20.697952000000004
113,19.66976
114,18.373344
115,17.345152
116,16.853408
117,16.361664
118,15.780512
119,13.411200000000001
120,10.907775999999998
121,8.851392
122,6.92912
123,4.828032
124,2.8163520000000006
125,1.430528
126,0.9387840000000001
127,0.5364479999999999
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,1.207008
137,4.112768
138,7.197344
139,10.147808000000001
140,13.053568
141,15.288768
142,17.345152
143,19.22272
144,20.250912
145,20.921472
146,21.45792
147,22.12848
148,22.486112
149,23.02256
150,23.335488
151,23.514304
152,23.69312
153,24.050752
154,24.050752
155,24.050752
156,24.408384
157,25.168352
158,25.436576
159,25.973024
160,26.107136
161,26.643583999999997
162,26.777696
163,26.911807999999997
164,27.04592
165,26.688288
166,26.062431999999998
167,25.973024
168,25.838912
169,25.615392
170,25.7048
171,25.302464
172,25.481279999999998
173,25.302464
174,25.25776
175,25.123648
176,25.213055999999998
177,25.302464
178,25.213055999999998
179,25.078943999999996
180,25.03424
181,24.989536
182,24.497792
183,24.229568
184,24.408384
185,23.335488
186,24.453088
187,24.900128
188,25.481279999999998
189,25.92832
190,25.973024
191,26.554176
192,26.777696
193,27.26944
194,27.448255999999997
195,27.671776
196,27.94
197,27.94
198,28.029407999999997
199,27.805888
200,27.94
201,28.208224
202,28.029407999999997
203,28.074112
204,28.16352
205,28.655263999999995
206,28.565856
207,28.655263999999995
208,28.744671999999998
209,28.83408
210,29.012895999999998
211,29.191712000000003
212,29.50464
213,29.50464
214,29.683456000000003
215,28.655263999999995
216,28.431744
217,28.565856
218,28.655263999999995
219,28.476447999999998
220,28.744671999999998
221,28.699968
222,28.565856
223,28.699968
224,28.342335999999996
225,28.61056
226,28.565856
227,28.61056
228,28.521152
229,28.61056
230,28.297632
231,28.342335999999996
232,28.565856
233,28.61056
234,28.744671999999998
235,28.968192
236,29.102304
237,28.61056
238,28.699968
239,28.208224
240,28.476447999999998
241,28.208224
242,28.476447999999998
243,28.38704
244,28.16352
245,28.208224
246,28.16352
247,28.297632
248,28.342335999999996
249,28.297632
250,27.94
251,27.94
252,28.118816
253,28.074112
254,27.805888
255,27.895296
256,27.850592
257,27.850592
258,27.895296
259,27.761183999999997
260,27.94
261,28.074112
262,27.850592
263,27.850592
264,27.895296
265,27.671776
266,28.074112
267,28.074112
268,27.850592
269,28.074112
270,27.895296
271,27.761183999999997
272,27.671776
273,27.627072
274,27.761183999999997
275,27.761183999999997
276,27.761183999999997
277,27.71648
278,27.895296
279,27.805888
280,27.805888
281,27.895296
282,28.029407999999997
283,27.984704
284,28.476447999999998
285,28.744671999999998
286,28.968192
287,29.102304
288,29.459936
289,29.549343999999998
290,29.95168
291,30.041088000000002
292,30.175199999999997
293,30.532832
294,30.532832
295,30.756352
296,30.890464
297,31.024575999999996
298,32.052768
299,32.231584
300,33.483295999999996
301,32.455104
302,32.276288
303,32.276288
304,32.186879999999995
305,32.4104
306,32.544512
307,32.499807999999994
308,32.097472
309,31.918656
310,31.784544
311,31.784544
312,31.695135999999998
313,31.73984
314,31.73984
315,31.829248
316,32.231584
317,32.455104
318,32.902144
319,33.438592
320,33.840928
321,34.556191999999996
322,35.047936
323,35.450272
324,34.958528
325,33.97504
326,33.796224
327,34.153856000000005
328,34.690304
329,34.869119999999995
330,35.360864
331,35.53968
332,35.718496
333,35.718496
334,35.89731200000001
335,35.89731200000001
336,35.53968
337,35.53968
338,35.360864
339,35.182047999999995
340,34.690304
341,34.19856
342,33.215072
343,32.455104
344,31.650432
345,30.219904
346,29.683456000000003
347,29.817567999999998
348,29.549343999999998
349,29.459936
350,29.594047999999997
351,29.549343999999998
352,29.996384
353,30.130495999999997
354,30.532832
355,30.532832
356,30.711647999999997
357,30.488128
358,30.443423999999997
359,30.398719999999997
360,29.996384
361,29.683456000000003
362,29.549343999999998
363,29.370528
364,29.50464
365,29.683456000000003
366,29.50464
367,29.638752
368,29.95168
369,30.175199999999997
370,30.354016
371,30.443423999999997
372,30.62224
373,30.801056
374,30.666944
375,31.024575999999996
376,31.024575999999996
377,31.024575999999996
378,31.292799999999996
379,31.471616
380,31.561024
381,31.695135999999998
382,31.426911999999998
383,31.561024
384,31.426911999999998
385,31.158687999999998
386,31.248096
387,31.337504
388,31.113984
389,30.979872
390,31.248096
391,31.158687999999998
392,31.06928
393,31.248096
394,31.382208
395,31.382208
396,31.382208
397,31.73984
398,31.650432
399,31.695135999999998
400,31.605728
401,31.695135999999998
402,31.829248
403,31.873952000000003
404,31.650432
405,31.829248
406,32.052768
407,32.142176
408,32.455104
409,32.320992
410,32.320992
411,32.231584
412,32.186879999999995
413,32.142176
414,32.455104
415,32.544512
416,32.723328
417,32.231584
418,31.963359999999998
419,31.695135999999998
420,31.471616
421,31.51632
422,31.695135999999998
423,31.382208
424,31.73984
425,31.382208
426,31.426911999999998
427,30.890464
428,30.756352
429,30.488128
430,30.532832
431,30.488128
432,30.264608
433,30.085792
434,30.175199999999997
435,30.219904
436,30.219904
437,30.041088000000002
438,29.95168
439,29.638752
440,29.772864000000002
