Kanji,Readings,Meaning,Score,Level
土,ド・ト・つち,soil; earth; ground; Turkey,0,5
山,サン・セン・やま,mountain,0,5
先,セン・さき・ま.ず,before; ahead; previous; future; precedence,0,5
三,サン・ゾウ・み・み.つ・みっ.つ,three,0,5
四,シ・よ・よ.つ・よっ.つ・よん,four,0,5
来,ライ・タイ・く.る・きた.る・きた.す・き.たす・き.たる・き・こ,come; due; next; cause; become,0,5
語,ゴ・かた.る・かた.らう,word; speech; language,0,5
七,シチ・なな・なな.つ・なの,seven,0,5
日,ニチ・ジツ・ひ・~び・~か,day; sun; Japan; counter for days,0,5
火,カ・ひ・~び・ほ~,fire,0,5
下,カ・ゲ・した・しも・もと・さ.げる・さ.がる・くだ.る・くだ.り・くだ.す・~くだ.す・くだ.さる・お.ろす・お.りる,below; down; descend; give; low; inferior,0,5
話,ワ・はな.す・はなし,tale; talk,0,5
学,ガク・まな.ぶ,study; learning; science,0,5
八,ハチ・や・や.つ・やっ.つ・よう,eight; eight radical (no. 12),0,5
長,チョウ・なが.い・おさ,long; leader; superior; senior,0,5
半,ハン・なか.ば,half; middle; odd number; semi-; part-,0,5
気,キ・ケ・いき,spirit; mind; air; atmosphere; mood,0,5
時,ジ・とき・~どき,time; hour,0,5
今,コン・キン・いま,now,0,5
後,ゴ・コウ・のち・うし.ろ・うしろ・あと・おく.れる,behind; back; later,0,5
天,テン・あまつ・あめ・あま~,heavens; sky; imperial,0,5
名,メイ・ミョウ・な・~な,name; noted; distinguished; reputation,0,5
校,コウ・キョウ,exam; school; printing; proof; correction,0,5
上,ジョウ・ショウ・シャン・うえ・~うえ・うわ~・かみ・あ.げる・~あ.げる・あ.がる・~あ.がる・あ.がり・~あ.がり・のぼ.る・のぼ.り・のぼ.せる・のぼ.す・たてまつ.る,above; up,0,5
前,ゼン・まえ・~まえ,in front; before,0,5
小,ショウ・ちい.さい・こ~・お~・さ~,little; small,0,5
読,ドク・トク・トウ・よ.む・~よ.み,read,0,5
五,ゴ・いつ・いつ.つ,five,0,5
川,セン・かわ,stream; river; river or three-stroke river radical (no. 47),0,5
母,ボ・はは・も,mother,0,5
水,スイ・みず・みず~,water,0,5
金,キン・コン・ゴン・かね・かな~・~がね,gold,0,5
休,キュウ・やす.む・やす.まる・やす.める,rest; day off; retire; sleep,0,5
年,ネン・とし,year; counter for years,0,5
外,ガイ・ゲ・そと・ほか・はず.す・はず.れる・と~,outside,0,5
国,コク・くに,country,0,5
友,ユウ・とも,friend,0,5
