Kanji,Readings,Meaning,Score,Level
出,シュツ・スイ・で.る・~で・だ.す・~だ.す・い.でる・い.だす,exit; leave; go out; come out; put out; protrude,0,5
毎,マイ・ごと・~ごと.に,every,0,5
車,シャ・くるま,car,0,5
午,ゴ・うま,noon; sign of the horse; 11AM-1PM; seventh sign of Chinese zodiac,0,5
聞,ブン・モン・き.く・き.こえる,hear; ask; listen,0,5
月,ゲツ・ガツ・つき,month; moon,0,5
書,ショ・か.く・~が.き・~がき,write,0,5
父,フ・ちち,father,0,5
西,セイ・サイ・ス・にし,west; Spain,0,5
高,コウ・たか.い・たか・~だか・たか.まる・たか.める,tall; high; expensive,0,5
本,ホン・もと,book; present; main; origin; true; real; counter for long cylindrical things,0,5
二,ニ・ジ・ふた・ふた.つ・ふたたび,two; two radical (no. 7),0,5
何,カ・なに・なん・なに~・なん~,what,0,5
人,ジン・ニン・ひと・~り・~と,person,0,5
大,ダイ・タイ・おお~・おお.きい・~おお.いに,large; big,0,5
雨,ウ・あめ・あま~・~さめ,rain,0,5
男,ダン・ナン・おとこ・お,male,0,5
行,コウ・ギョウ・アン・い.く・ゆ.く・~ゆ.き・~ゆき・~い.き・~いき・おこな.う・おこ.なう,going; journey; carry out; conduct; act; line; row; bank,0,5
間,カン・ケン・あいだ・ま・あい,interval; space,0,5
六,ロク・リク・む・む.つ・むっ.つ・むい,six,0,5
千,セン・ち,thousand,0,5
中,チュウ・なか・うち・あた.る,in; inside; middle; mean; center,0,5
生,セイ・ショウ・い.きる・い.かす・い.ける・う.まれる・うま.れる・う.まれ・うまれ・う.む・お.う・は.える・は.やす・き・なま・なま~・な.る・な.す・む.す・~う,life; genuine; birth,0,5
百,ヒャク・ビャク・もも,hundred,0,5
円,エン・まる.い・まる・まど・まど.か・まろ.やか,circle; yen; round,0,5
北,ホク・きた,north,0,5
十,ジュウ・ジッ・ジュッ・とお・と,ten,0,5
子,シ・ス・ツ・こ・~こ・ね,child; sign of the rat; 11PM-1AM; first sign of Chinese zodiac,0,5
見,ケン・み.る・み.える・み.せる,see; hopes; chances; idea; opinion; look at; visible,0,5
電,デン,electricity,0,5
右,ウ・ユウ・みぎ,right,0,5
女,ジョ・ニョ・ニョウ・おんな・め,woman; female,0,5
一,イチ・イツ・ひと~・ひと.つ,one; one radical (no.1),0,5
左,サ・シャ・ひだり,left,0,5
東,トウ・ひがし,east,0,5
万,マン・バン・よろず,"ten thousand; 10,000",0,5
南,ナン・ナ・みなみ,south,0,5
木,ボク・モク・き・こ~,tree; wood,0,5
九,キュウ・ク・ここの・ここの.つ,nine,0,5
食,ショク・ジキ・く.う・く.らう・た.べる・は.む,eat; food,0,5
入,ニュウ・ジュ・い.る・~い.る・~い.り・い.れる・~い.れ・はい.る,enter; insert,0,5
白,ハク・ビャク・しろ・しら~・しろ.い,white,0,5
洋,ヨウ,ocean; sea; foreign; Western style,1,4
心,シン・こころ・~ごころ,heart; mind; spirit; heart radical (no. 61),1,4
立,リツ・リュウ・リットル・た.つ・~た.つ・た.ち~・た.てる・~た.てる・た.て~・たて~・~た.て・~だ.て・~だ.てる,stand up; rise; set up; erect,1,4
兄,ケイ・キョウ・あに,elder brother; big brother,1,4
病,ビョウ・ヘイ・や.む・~や.み・やまい,ill; sick,1,4
明,メイ・ミョウ・ミン・あ.かり・あか.るい・あか.るむ・あか.らむ・あき.らか・あ.ける・~あ.け・あ.く・あ.くる・あ.かす,bright; light,1,4
音,オン・イン・~ノン・おと・ね,sound; noise,1,4
有,ユウ・ウ・あ.る,possess; have; exist; happen; occur; approx,1,4
題,ダイ,topic; subject,1,4
花,カ・ケ・はな,flower,1,4
通,ツウ・ツ・とお.る・とお.り・~とお.り・~どお.り・とお.す・とお.し・~どお.し・かよ.う,"traffic; pass through; avenue; commute; counter for letters, notes, documents, etc.",1,4
物,ブツ・モツ・もの・もの~,thing; object; matter,1,4
用,ヨウ・もち.いる,utilize; business; service; use; employ,1,4
店,テン・みせ・たな,store; shop,1,4
運,ウン・はこ.ぶ,carry; luck; destiny; fate; lot; transport; progress; advance,1,4
工,コウ・ク・グ,craft; construction; katakana e radical (no. 48),1,4
切,セツ・サイ・き.る・~き.る・き.り・~き.り・~ぎ.り・き.れる・~き.れる・き.れ・~き.れ・~ぎ.れ,cut; cutoff; be sharp,1,4
死,シ・し.ぬ・し.に~,death; die,1,4
安,アン・やす.い・やす.まる・やす・やす.らか,relax; cheap; low; quiet; rested; contented; peaceful,1,4
図,ズ・ト・え・はか.る,map; drawing; plan; extraordinary; audacious,1,4
走,ソウ・はし.る,run,1,4
海,カイ・うみ,sea; ocean,1,4
味,ミ・あじ・あじ.わう,flavor; taste,1,4
力,リョク・リキ・リイ・ちから,power; strength; strong; strain; bear up; exert,1,4
問,モン・と.う・と.い・とん,question; ask; problem,1,4
口,コウ・ク・くち,mouth,1,4
夜,ヤ・よ・よる,night; evening,1,4
画,ガ・カク・エ・カイ・えが.く・かく.する・かぎ.る・はかりごと・はか.る,brush-stroke; picture,1,4
院,イン,Inst.; institution; temple; mansion; school,1,4
田,デン・た,rice field; rice paddy,1,4
業,ギョウ・ゴウ・わざ,business; vocation; arts; performance,1,4
別,ベツ・わか.れる・わ.ける,separate; branch off; diverge; fork; another; extra; specially,1,4
社,シャ・やしろ,company; firm; office; association; shrine,1,4
映,エイ・うつ.る・うつ.す・は.える・~ば.え,reflect; reflection; projection,1,4
事,ジ・ズ・こと・つか.う・つか.える,matter; thing; fact; business; reason; possibly,1,4
主,シュ・ス・シュウ・ぬし・おも・あるじ,lord; chief; master; main thing; principal,1,4
週,シュウ,week,1,4
多,タ・おお.い・まさ.に・まさ.る,many; frequent; much,1,4
試,シ・こころ.みる・ため.す,test; try; attempt; experiment; ordeal,1,4
肉,ニク・しし,meat,1,4
界,カイ,world; boundary,1,4
同,ドウ・おな.じ,same; agree; equal,1,4
医,イ・い.やす・い.する・くすし,doctor; medicine,1,4
集,シュウ・あつ.まる・あつ.める・つど.う,gather; meet; congregate; swarm; flock,1,4
古,コ・ふる.い・ふる~・~ふる.す,old,1,4
知,チ・し.る・し.らせる,know; wisdom,1,4
買,バイ・か.う,buy,1,4
考,コウ・かんが.える・かんが.え,consider; think over,1,4
弟,テイ・ダイ・デ・おとうと,younger brother; faithful service to elders,1,4
言,ゲン・ゴン・い.う・こと,say; word,1,4
質,シツ・シチ・チ・たち・ただ.す・もと・わりふ,substance; quality; matter; temperament,1,4
少,ショウ・すく.ない・すこ.し,few; little,1,4
牛,ギュウ・うし,cow,1,4
特,トク,special,1,4
京,キョウ・ケイ・キン・みやこ,capital; 10**16,1,4
去,キョ・コ・さ.る・~さ.る,gone; past; quit; leave; elapse; eliminate; divorce,1,4
料,リョウ,fee; materials,1,4
地,チ・ジ,ground; earth,1,4
飲,イン・オン・の.む・~の.み,drink; smoke; take,1,4
思,シ・おも.う・おもえら.く・おぼ.す,think,1,4
住,ジュウ・ヂュウ・チュウ・す.む・す.まう・~ず.まい,dwell; reside; live; inhabit,1,4
広,コウ・ひろ.い・ひろ.まる・ひろ.める・ひろ.がる・ひろ.げる,wide; broad; spacious,1,4
妹,マイ・いもうと,younger sister,1,4
赤,セキ・シャク・あか・あか~・あか.い・あか.らむ・あか.らめる,red,1,4
旅,リョ・たび,trip; travel,1,4
家,カ・ケ・いえ・や・うち,house; home; family; professional; expert; performer,1,4
姉,シ・あね・はは,elder sister,1,4
駅,エキ,station,1,4
送,ソウ・おく.る,escort; send,1,4
度,ド・ト・タク・たび・~た.い,degrees; occurrence; time; counter for occurrences; consider; attitude,1,4
重,ジュウ・チョウ・え・おも.い・おも.り・おも.なう・かさ.ねる・かさ.なる・おも,heavy; important; esteem; respect; heap up; pile up; nest of boxes; -fold,1,4
館,カン・やかた・たて,building; mansion; large building; palace,1,4
元,ゲン・ガン・もと,beginning; former time; origin,1,4
色,ショク・シキ・いろ,color,1,4
代,ダイ・タイ・か.わる・かわ.る・かわ.り・か.わり・~がわ.り・~が.わり・か.える・よ・しろ,"substitute; change; convert; replace; period; age; counter for decades of ages, eras, etc.; generation; charge; rate; fee",1,4
注,チュウ・そそ.ぐ・さ.す・つ.ぐ,pour; irrigate; shed (tears); flow into; concentrate on; notes; comment; annotate,1,4
屋,オク・や,roof; house; shop; dealer; seller,1,4
計,ケイ・はか.る・はか.らう,plot; plan; scheme; measure,1,4
曜,ヨウ,weekday,1,4
字,ジ・あざ・あざな・~な,character; letter; word; section of village,1,4
待,タイ・ま.つ・~ま.ち,wait; depend on,1,4
習,シュウ・ジュ・なら.う・なら.い,learn,1,4
動,ドウ・うご.く・うご.かす,move; motion; change; confusion; shift; shake,1,4
使,シ・つか.う・つか.い・~つか.い・~づか.い,use; send on a mission; order; messenger; envoy; ambassador; cause,1,4
理,リ・ことわり,logic; arrangement; reason; justice; truth,1,4
魚,ギョ・うお・さかな・~ざかな,fish,1,4
教,キョウ・おし.える・おそ.わる,teach; faith; doctrine,1,4
空,クウ・そら・あ.く・あ.き・あ.ける・から・す.く・す.かす・むな.しい,empty; sky; void; vacant; vacuum,1,4
野,ヤ・ショ・の・の~,plains; field; rustic; civilian life,1,4
台,ダイ・タイ・うてな・われ・つかさ,pedestal; a stand; counter for machines and vehicles,1,4
以,イ・もっ.て,by means of; because; in view of; compared with,1,4
終,シュウ・お.わる・~お.わる・おわ.る・お.える・つい・つい.に,end; finish,1,4
昼,チュウ・ひる,daytime; noon,1,4
鳥,チョウ・とり,bird; chicken,1,4
新,シン・あたら.しい・あら.た・あら~・にい~,new,1,4
夏,カ・ガ・ゲ・なつ,summer,1,4
服,フク,clothing; admit; obey; discharge,1,4
英,エイ・はなぶさ,England; English; hero; outstanding; calyx,1,4
転,テン・ころ.がる・ころ.げる・ころ.がす・ころ.ぶ・まろ.ぶ・うたた・うつ.る・くる.めく,revolve; turn around; change,1,4
品,ヒン・ホン・しな,goods; refinement; dignity; article; counter for meal courses,1,4
止,シ・と.まる・~ど.まり・と.める・~と.める・~ど.め・とど.める・とど.め・とど.まる・や.める・や.む・~や.む・よ.す・~さ.す・~さ.し,stop; halt,1,4
近,キン・コン・ちか.い,near; early; akin; tantamount,1,4
足,ソク・あし・た.りる・た.る・た.す,leg; foot; be sufficient; counter for pairs of footwear,1,4
研,ケン・と.ぐ,polish; study of; sharpen,1,4
紙,シ・かみ,paper,1,4
場,ジョウ・チョウ・ば,location; place,1,4
開,カイ・ひら.く・ひら.き・~びら.き・ひら.ける・あ.く・あ.ける,open; unfold; unseal,1,4
貸,タイ・か.す・か.し~・かし~,lend,1,4
帰,キ・かえ.る・かえ.す・おく.る・とつ.ぐ,homecoming; arrive at; lead to; result in,1,4
員,イン,employee; member; number; the one in charge,1,4
歩,ホ・ブ・フ・ある.く・あゆ.む,walk; counter for steps,1,4
私,シ・わたくし・わたし,private; I; me,1,4
堂,ドウ,public chamber; hall,1,4
町,チョウ・まち,town; village; block; street,1,4
体,タイ・テイ・からだ・かたち,body; substance; object; reality; counter for images,1,4
発,ハツ・ホツ・た.つ・あば.く・おこ.る・つか.わす・はな.つ,departure; discharge; publish; emit; start from; disclose; counter for gunshots,1,4
起,キ・お.きる・お.こる・お.こす・おこ.す・た.つ,rouse; wake up; get up,1,4
室,シツ・むろ,room; apartment; chamber; greenhouse; cellar,1,4
朝,チョウ・あさ,morning; dynasty; regime; epoch; period; (North) Korea,1,4
売,バイ・う.る・う.れる,sell,1,4
者,シャ・もの,someone; person,1,4
借,シャク・か.りる,borrow; rent,1,4
勉,ベン・つと.める,exertion; endeavour; encourage; strive; make effort; diligent,1,4
漢,カン,Sino-; China,1,4
道,ドウ・トウ・みち・いう,road-way; street; district; journey; course; moral; teachings,1,4
目,モク・ボク・め・~め・ま~,eye; class; look; insight; experience; care; favor,1,4
自,ジ・シ・みずか.ら・おの.ずから・おの.ずと,oneself,1,4
持,ジ・も.つ・~も.ち・も.てる,hold; have,1,4
歌,カ・うた・うた.う,song; sing,1,4
風,フウ・フ・かぜ・かざ~・~かぜ,wind; air; style; manner,1,4
早,ソウ・サッ・はや.い・はや・はや~・はや.まる・はや.める・さ~,early; fast,1,4
方,ホウ・かた・~かた・~がた,direction; person; alternative,1,4
作,サク・サ・つく.る・つく.り・~づく.り,make; production; prepare; build,1,4
写,シャ・ジャ・うつ.す・うつ.る・うつ~・うつ.し,copy; be photographed; describe,1,4
真,シン・ま・ま~・まこと,true; reality; Buddhist sect,1,4
正,セイ・ショウ・ただ.しい・ただ.す・まさ・まさ.に,correct; justice; righteous; 10**40,1,4
茶,チャ・サ,tea,1,4
手,シュ・ズ・て・て~・~て・た~,hand,1,4
青,セイ・ショウ・あお・あお~・あお.い,blue; green,1,4
答,トウ・こた.える・こた.え,solution; answer,1,4
仕,シ・ジ・つか.える,attend; doing; official; serve,1,4
急,キュウ・いそ.ぐ・いそ.ぎ,hurry; emergency; sudden; steep,1,4
着,チャク・ジャク・き.る・~ぎ・き.せる・~き.せ・つ.く・つ.ける,don; arrive; wear; counter for suits of clothing,1,4
黒,コク・くろ・くろ.ずむ・くろ.い,black,1,4
始,シ・はじ.める・~はじ.める・はじ.まる,commence; begin,1,4
悪,アク・オ・わる.い・わる~・あ.し・にく.い・~にく.い・ああ・いずくに・いずくんぞ・にく.む,bad; vice; rascal; false; evil; wrong,1,4
犬,ケン・いぬ・いぬ~,dog,1,4
意,イ,idea; mind; heart; taste; thought; desire; care; liking,1,4
楽,ガク・ラク・ゴウ・たの.しい・たの.しむ・この.む,music; comfort; ease,1,4
究,キュウ・ク・きわ.める,research; study,1,4
飯,ハン・めし,meal; boiled rice,1,4
春,シュン・はる,springtime; spring (season),1,4
夕,セキ・ゆう,evening,1,4
親,シン・おや・おや~・した.しい・した.しむ,parent; intimacy; relative; familiarity; dealer (cards),1,4
会,カイ・エ・あ.う・あ.わせる・あつ.まる,meeting; meet; party; association; interview; join,1,4
験,ケン・ゲン・あかし・しるし・ため.す・ためし,verification; effect; testing,1,4
世,セイ・セ・ソウ・よ,generation; world; society; public,1,4
不,フ・ブ,negative; non-; bad; ugly; clumsy,1,4
公,コウ・ク・おおやけ,public; prince; official; governmental,1,4
文,ブン・モン・ふみ・あや,sentence; literature; style; art; decoration; figures; plan; literary radical (no. 67),1,4
冬,トウ・ふゆ,winter,1,4
秋,シュウ・あき・とき,autumn,1,4
銀,ギン・しろがね,silver,1,4
族,ゾク,tribe; family,1,4
建,ケン・コン・た.てる・た.て・~だ.て・た.つ,build,1,4
強,キョウ・ゴウ・つよ.い・つよ.まる・つよ.める・し.いる・こわ.い,strong,1,4
招,ショウ・まね.く,beckon; invite; summon; engage,2,3
要,ヨウ・い.る・かなめ,need; main point; essence; pivot; key to,2,3
位,イ・くらい・ぐらい,rank; grade; throne; crown; about; some,2,3
原,ゲン・はら,meadow; original; primitive; field; plain; prairie; tundra; wilderness,2,3
交,コウ・まじ.わる・まじ.える・ま.じる・まじ.る・ま.ざる・ま.ぜる・~か.う・か.わす・かわ.す・こもごも,mingle; mixing; association; coming & going,2,3
財,ザイ・サイ・ゾク・たから,property; money; wealth; assets,2,3
皆,カイ・みな・みんな,all; everything,2,3
内,ナイ・ダイ・うち,inside; within; between; among; house; home,2,3
昔,セキ・シャク・むかし,once upon a time; antiquity; old times,2,3
収,シュウ・おさ.める・おさ.まる,income; obtain; reap; pay; supply; store,2,3
首,シュ・くび,neck; counter for songs and poems,2,3
勝,ショウ・か.つ・~が.ち・まさ.る・すぐ.れる・かつ,victory; win; prevail; excel,2,3
髪,ハツ・かみ,hair of the head,2,3
積,セキ・つ.む・~づ.み・つ.もる・つ.もり,volume; product (x*y); acreage; contents; pile up; stack; load; amass,2,3
感,カン,emotion; feeling; sensation,2,3
働,ドウ・はたら.く,work; (kokuji),2,3
未,ミ・ビ・いま.だ・ま.だ・ひつじ,un-; not yet; hitherto; still; even now; sign of the ram; 1-3PM; eighth sign of Chinese zodiac,2,3
逃,トウ・に.げる・に.がす・のが.す・のが.れる,escape; flee; shirk; evade; set free,2,3
資,シ,assets; resources; capital; funds; data; be conducive to; contribute to,2,3
現,ゲン・あらわ.れる・あらわ.す・うつつ・うつ.つ,present; existing; actual,2,3
当,トウ・あ.たる・あ.たり・あ.てる・あ.て・まさ.に・まさ.にべし,hit; right; appropriate; himself,2,3
他,タ・ほか,other; another; the others,2,3
神,シン・ジン・かみ・かん~・こう~,gods; mind; soul,2,3
捕,ホ・と.らえる・と.らわれる・と.る・とら.える・とら.われる・つか.まえる・つか.まる,catch; capture,2,3
進,シン・すす.む・すす.める,advance; proceed; progress; promote,2,3
飛,ヒ・と.ぶ・と.ばす・~と.ばす,fly; skip (pages); scatter,2,3
息,ソク・いき,breath; respiration; son; interest (on money),2,3
祖,ソ,ancestor; pioneer; founder,2,3
礼,レイ・ライ,salute; bow; ceremony; thanks; remuneration,2,3
遅,チ・おく.れる・おく.らす・おそ.い,slow; late; back; later,2,3
吸,キュウ・す.う,suck; imbibe; inhale; sip,2,3
予,ヨ・シャ・あらかじ.め,beforehand; previous; myself; I,2,3
疲,ヒ・つか.れる・~づか.れ・つか.らす,exhausted; tire; weary,2,3
迷,メイ・まよ.う,astray; be perplexed; in doubt; lost; err; illusion,2,3
徒,ト・いたずら・あだ,on foot; junior; emptiness; vanity; futility; uselessness; ephemeral thing; gang; set; party; people,2,3
忘,ボウ・わす.れる,forget,2,3
抱,ホウ・だ.く・いだ.く・かか.える,embrace; hug; hold in arms,2,3
値,チ・ね・あたい,price; cost; value,2,3
単,タン・ひとえ,simple; one; single; merely,2,3
追,ツイ・お.う,chase; drive away; follow; pursue; meanwhile,2,3
雪,セツ・ゆき,snow,2,3
配,ハイ・くば.る,distribute; spouse; exile; rationing,2,3
限,ゲン・かぎ.る・かぎ.り・~かぎ.り,limit; restrict; to best of ability,2,3
選,セン・えら.ぶ,elect; select; choose; prefer,2,3
雑,ザツ・ゾウ・まじ.える・まじ.る,miscellaneous,2,3
権,ケン・ゴン・おもり・かり・はか.る,authority; power; rights,2,3
末,マツ・バツ・すえ,end; close; tip; powder; posterity,2,3
乗,ジョウ・ショウ・の.る・~の.り・の.せる,ride; power; multiplication; record; counter for vehicles; board; mount; join,2,3
民,ミン・たみ,people; nation; subjects,2,3
眠,ミン・ねむ.る・ねむ.い,sleep; die; sleepy,2,3
責,セキ・せ.める,blame; condemn; censure,2,3
便,ベン・ビン・たよ.り,convenience; facility; excrement; feces; letter; chance,2,3
育,イク・そだ.つ・そだ.ち・そだ.てる・はぐく.む,bring up; grow up; raise; rear,2,3
困,コン・こま.る,quandary; become distressed; annoyed,2,3
直,チョク・ジキ・ジカ・ただ.ちに・なお.す・~なお.す・なお.る・なお.き・す.ぐ,straightaway; honesty; frankness; fix; repair,2,3
精,セイ・ショウ・しら.げる・くわ.しい,refined; ghost; fairy; energy; vitality; semen; excellence; purity; skill,2,3
戦,セン・いくさ・たたか.う・おのの.く・そよ.ぐ・わなな.く,war; battle; match,2,3
観,カン・み.る・しめ.す,outlook; look; appearance; condition; view,2,3
貧,ヒン・ビン・まず.しい,poverty; poor,2,3
因,イン・よ.る・ちな.む,cause; factor; be associated with; depend on; be limited to,2,3
返,ヘン・かえ.す・~かえ.す・かえ.る・~かえ.る,return; answer; fade; repay,2,3
富,フ・フウ・と.む・とみ,wealth; enrich; abundant,2,3
込,~こ.む・こ.む・こ.み・~こ.み・こ.める,crowded; mixture; in bulk; included; (kokuji),2,3
宿,シュク・やど・やど.る・やど.す,inn; lodging; relay station; dwell; lodge; be pregnant; home; dwelling,2,3
所,ショ・ところ・~ところ・どころ・とこ,place; extent,2,3
判,ハン・バン・わか.る,judgement; signature; stamp; seal,2,3
科,カ,department; course; section,2,3
難,ナン・かた.い・~がた.い・むずか.しい・むづか.しい・むつか.しい・~にく.い,difficult; impossible; trouble; accident; defect,2,3
欲,ヨク・ほっ.する・ほ.しい,longing; covetousness; greed; passion; desire; craving,2,3
断,ダン・た.つ・ことわ.る・さだ.める,severance; decline; refuse; apologize; warn; dismiss; prohibit; decision; judgement; cutting,2,3
辞,ジ・や.める・いな.む,resign; word; term; expression,2,3
探,タン・さぐ.る・さが.す,grope; search; look for,2,3
識,シキ・し.る・しる.す,discriminating; know; write,2,3
杯,ハイ・さかずき,counter for cupfuls; wine glass; glass; toast,2,3
陽,ヨウ・ひ,sunshine; yang principle; positive; male; heaven; daytime,2,3
参,サン・シン・まい.る・まい~・まじわる・みつ,nonplussed; three (in documents); going; coming; visiting; visit; be defeated; die; be madly in love; participate; take part in,2,3
費,ヒ・つい.やす・つい.える,expense; cost; spend; consume; waste,2,3
増,ゾウ・ま.す・ま.し・ふ.える・ふ.やす,increase; add; augment; gain; promote,2,3
晴,セイ・は.れる・は.れ・は.れ~・~ば.れ・は.らす,clear up,2,3
降,コウ・ゴ・お.りる・お.ろす・ふ.る・ふ.り・くだ.る・くだ.す,descend; precipitate; fall; surrender,2,3
暮,ボ・く.れる・く.らす,evening; twilight; season's end; livelihood; make a living; spend time,2,3
君,クン・きみ・~ぎみ,mister; you; ruler; male name suffix,2,3
束,ソク・たば・たば.ねる・つか・つか.ねる,bundle; sheaf; ream; tie in bundles; govern; manage; control,2,3
達,タツ・ダ・~たち,accomplished; reach; arrive; attain,2,3
関,カン・せき・~ぜき・かか.わる・からくり・かんぬき,connection; barrier; gateway; involve; concerning,2,3
得,トク・え.る・う.る,gain; get; find; earn; acquire; can; may; able to; profit; advantage; benefit,2,3
議,ギ,deliberation; consultation; debate; consideration,2,3
消,ショウ・き.える・け.す,extinguish; blow out; turn off; neutralize; cancel,2,3
能,ノウ・よ.く,ability; talent; skill; capacity,2,3
情,ジョウ・セイ・なさ.け,feelings; emotion; passion; sympathy; circumstances; facts,2,3
活,カツ・い.きる・い.かす・い.ける,lively; resuscitation; being helped; living,2,3
命,メイ・ミョウ・いのち,fate; command; decree; destiny; life; appoint,2,3
解,カイ・ゲ・と.く・と.かす・と.ける・ほど.く・ほど.ける・わか.る・さと.る,unravel; notes; key; explanation; understanding; untie; undo; solve; answer; cancel; absolve; explain; minute,2,3
官,カン,bureaucrat; the government; organ,2,3
状,ジョウ,status quo; conditions; circumstances; form; appearance,2,3
失,シツ・うしな.う・う.せる,lose; error; fault; disadvantage; loss,2,3
打,ダ・ダアス・う.つ・う.ち~・ぶ.つ,strike; hit; knock; pound; dozen,2,3
洗,セン・あら.う,wash; inquire into; probe,2,3
格,カク・コウ・キャク・ゴウ,"status; rank; capacity; character; case (law, grammar)",2,3
王,オウ・~ノウ,king; rule; magnate,2,3
苦,ク・くる.しい・~ぐる.しい・くる.しむ・くる.しめる・にが.い・にが.る,suffering; trial; worry; hardship; feel bitter; scowl,2,3
認,ニン・みと.める・したた.める,acknowledge; witness; discern; recognize; appreciate; believe,2,3
殺,サツ・サイ・セツ・ころ.す・~ごろ.し・そ.ぐ,kill; murder; butcher; slice off; split; diminish; reduce; spoil,2,3
呼,コ・よ.ぶ,call; call out to; invite,2,3
法,ホウ・ハッ・ホッ・フラン・のり,method; law; rule; principle; model; system,2,3
望,ボウ・モウ・のぞ.む・もち,ambition; full moon; hope; desire; aspire to; expect,2,3
夫,フ・フウ・ブ・おっと・それ,husband; man,2,3
商,ショウ・あきな.う,make a deal; selling; dealing in; merchant,2,3
喜,キ・よろこ.ぶ・よろこ.ばす,rejoice; take pleasure in,2,3
告,コク・つ.げる,revelation; tell; inform; announce,2,3
易,エキ・イ・やさ.しい・やす.い,easy; ready to; simple; fortune-telling; divination,2,3
信,シン,faith; truth; fidelity; trust,2,3
努,ド・つと.める,toil; diligent; as much as possible,2,3
煙,エン・けむ.る・けむり・けむ.い,smoke,2,3
決,ケツ・き.める・~ぎ.め・き.まる・さ.く,decide; fix; agree upon; appoint,2,3
泳,エイ・およ.ぐ,swim,2,3
越,エツ・オツ・こ.す・~こ.す・~ご.し・こ.える・~ご.え,surpass; cross over; move to; exceed; Vietnam,2,3
期,キ・ゴ,period; time; date; term,2,3
求,キュウ・グ・もと.める,request; want; wish for; require; demand,2,3
愛,アイ・いと.しい・かな.しい・め.でる・お.しむ・まな,love; affection; favourite,2,3
抜,バツ・ハツ・ハイ・ぬ.く・~ぬ.く・ぬ.き・ぬ.ける・ぬ.かす・ぬ.かる,slip out; extract; pull out; pilfer; quote; remove; omit,2,3
段,ダン・タン,grade; steps; stairs,2,3
薬,ヤク・くすり,medicine; chemical; enamel; gunpowder; benefit,2,3
散,サン・ち.る・ち.らす・~ち.らす・ち.らかす・ち.らかる・ち.らばる・ばら・ばら.ける,scatter; disperse; spend; squander,2,3
賛,サン・たす.ける・たた.える,approve; praise; title or inscription on picture; assist; agree with,2,3
緒,ショ・チョ・お・いとぐち,thong; beginning; inception; end; cord; strap; mental or emotional state,2,3
実,ジツ・シツ・み・みの.る・まこと・みの・みち.る,reality; truth,2,3
若,ジャク・ニャク・ニャ・わか.い・わか~・も.しくわ・も.し・も.しくは・ごと.し,young; if; perhaps; possibly; low number; immature,2,3
満,マン・バン・み.ちる・み.つ・み.たす,full; fullness; enough; satisfy,2,3
務,ム・つと.める,task; duties,2,3
職,ショク・ソク,post; employment; work,2,3
合,ゴウ・ガッ・カッ・あ.う・~あ.う・あ.い・あい~・~あ.い・~あい・あ.わす・あ.わせる・~あ.わせる,fit; suit; join; 0.1,2,3
