,flux
atp_synthase,17.0
b6f,28.130173515102896
lhc_protonation,0.004799999998680118
lhc_deprotonation,0.004799999998680117
cyclic_electron_flow,7.049079594892927
violaxanthin_deepoxidase,0.00021818181818178655
zeaxanthin_epoxidase,0.00021818181818182136
fnr,21.0810939202143
ndh,0.009412696699012308
PSII,22.0951733555548
PSI,56.26034703021449
proton_leak,77.37770743820518
PTOX,1.0234921320395076
lhc_state_transition_12,0.0006363118434821159
lhc_state_transition_21,0.0006363118434821188
ex_atp,16.999999999999996
B0,1.874767310315622
B1,8.838069342221919e-09
B2,0.625232672747508
B3,8.098800919268138e-09
