numer_sta,date,nb_niv,
07145,19970831230000,66,
p_niv,geop,t,td,dd,ff,
100000,135,mq,mq,mq,mq,
99700,mq,292.350000,287.350000,230,2.100000,
94100,mq,mq,mq,255,12.900000,
92500,789,288.150000,283.950000,250,12.900000,
91400,mq,287.350000,283.150000,mq,mq,
88600,mq,mq,mq,225,12.300000,
86000,mq,mq,mq,210,12.300000,
85700,mq,287.750000,263.750000,mq,mq,
85000,1489,287.350000,270.350000,210,12.300000,
84200,mq,286.550000,274.550000,mq,mq,
80000,mq,mq,mq,210,13.400000,
78600,mq,281.950000,273.950000,mq,mq,
75000,mq,281.350000,258.350000,mq,mq,
74500,mq,281.350000,272.350000,mq,mq,
70000,3066,277.550000,270.550000,210,15.900000,
60000,mq,mq,mq,215,18.500000,
54800,mq,262.450000,262.050000,mq,mq,
53300,mq,261.250000,252.250000,mq,mq,
50000,5658,258.450000,251.450000,215,21.600000,
49700,mq,258.250000,251.250000,mq,mq,
48000,mq,256.650000,254.550000,mq,mq,
46800,mq,255.450000,244.450000,mq,mq,
45000,mq,253.850000,247.850000,mq,mq,
43600,mq,252.050000,236.050000,mq,mq,
43300,mq,mq,mq,215,24.200000,
41000,mq,249.050000,244.050000,mq,mq,
40000,7277,247.650000,242.650000,210,22.100000,
35500,mq,mq,mq,210,19.500000,
33900,mq,239.050000,232.050000,mq,mq,
32900,mq,237.450000,216.450000,mq,mq,
30300,mq,233.250000,219.250000,mq,mq,
30000,9267,232.650000,mq,210,26.200000,
25000,10464,224.450000,mq,205,32.900000,
21700,mq,mq,mq,205,38.600000,
20700,mq,215.850000,mq,205,37.000000,
20000,11856,216.250000,mq,205,35.500000,
16100,mq,219.050000,mq,mq,mq,
15000,13661,218.450000,mq,210,25.700000,
12800,mq,mq,mq,215,20.600000,
11700,mq,mq,mq,190,16.500000,
10200,mq,214.850000,mq,mq,mq,
10000,16181,215.250000,mq,215,13.400000,
9800,mq,mq,mq,220,12.900000,
9080,mq,mq,mq,200,4.600000,
8550,mq,mq,mq,170,8.200000,
8130,mq,218.650000,mq,mq,mq,
7000,18407,218.650000,mq,220,4.100000,
6990,mq,mq,mq,220,4.100000,
6050,mq,mq,mq,110,5.100000,
5000,20525,218.450000,mq,115,6.200000,
3730,mq,mq,mq,130,8.200000,
3310,mq,mq,mq,50,5.700000,
3180,mq,218.450000,mq,mq,mq,
3000,23732,219.050000,mq,95,6.200000,
2830,mq,mq,mq,125,6.200000,
2310,mq,mq,mq,50,5.700000,
2090,mq,mq,mq,140,3.600000,
2000,26311,223.850000,mq,120,3.600000,
1610,mq,mq,mq,35,4.100000,
1050,mq,mq,mq,290,3.600000,
1000,30842,231.850000,mq,300,4.600000,
860,mq,mq,mq,330,7.200000,
850,mq,233.650000,mq,mq,mq,
630,mq,238.450000,mq,mq,mq,
620,mq,mq,mq,185,6.200000,
560,mq,240.850000,mq,210,1.000000,
