numer_sta,date,nb_niv,
07145,19960831230000,56,
p_niv,geop,t,td,dd,ff,
100800,mq,285.950000,283.850000,40,2.100000,
100000,227,285.550000,283.050000,45,2.600000,
94500,mq,mq,mq,80,6.700000,
92500,866,282.950000,275.950000,55,5.700000,
92000,mq,282.750000,275.750000,mq,mq,
89300,mq,mq,mq,10,4.600000,
85500,mq,mq,mq,320,2.600000,
85000,1548,277.750000,273.550000,315,2.600000,
80000,mq,mq,mq,290,4.600000,
78800,mq,272.850000,270.950000,mq,mq,
78000,mq,mq,mq,280,5.100000,
75900,mq,270.450000,266.950000,mq,mq,
74900,mq,271.450000,253.450000,mq,mq,
72100,mq,270.850000,259.850000,mq,mq,
70000,3071,270.450000,258.450000,315,10.300000,
66000,mq,269.650000,253.650000,mq,mq,
62800,mq,mq,mq,345,15.400000,
60000,mq,mq,mq,345,15.900000,
58100,mq,264.050000,253.050000,mq,mq,
52100,mq,259.450000,237.450000,mq,mq,
50000,5629,257.650000,246.650000,350,19.000000,
49300,mq,256.850000,247.850000,mq,mq,
40000,7247,245.850000,238.850000,350,22.600000,
33400,mq,236.250000,231.250000,mq,mq,
30000,9208,229.850000,mq,355,27.300000,
27000,mq,223.650000,mq,mq,mq,
25000,10385,221.250000,mq,355,30.400000,
23900,mq,mq,mq,360,30.900000,
20000,11788,214.650000,mq,350,24.700000,
19800,mq,214.450000,mq,345,24.200000,
17200,mq,219.250000,mq,mq,mq,
15000,13582,219.250000,mq,330,14.400000,
11900,mq,mq,mq,320,6.200000,
10000,16132,219.250000,mq,335,5.100000,
7000,18378,219.450000,mq,10,3.600000,
5740,mq,mq,mq,30,2.600000,
5000,20496,219.450000,mq,145,3.600000,
4940,mq,mq,mq,155,3.600000,
4930,mq,219.450000,mq,mq,mq,
4110,mq,mq,mq,40,3.600000,
3220,mq,218.650000,mq,mq,mq,
3000,23693,220.450000,mq,330,4.600000,
2980,mq,mq,mq,330,4.600000,
2610,mq,224.050000,mq,mq,mq,
2600,mq,mq,mq,100,6.700000,
2000,26301,224.650000,mq,130,8.700000,
1960,mq,mq,mq,130,8.700000,
1650,mq,225.050000,mq,mq,mq,
1510,mq,mq,mq,290,5.700000,
1200,mq,235.850000,mq,mq,mq,
1080,mq,mq,mq,150,5.700000,
1000,30871,233.450000,mq,215,5.700000,
930,mq,232.650000,mq,mq,mq,
890,mq,mq,mq,315,5.100000,
660,mq,mq,mq,75,1.000000,
650,mq,237.850000,mq,mq,mq,
